"id","text","sentiment","length","word_count","has_question","has_exclamation","contains_positive_words","contains_negative_words","date"
19,"Lorem ipsum dolor sit amet, sed orci lobortis sed laoreet in risus netus in magnis rhoncus integer. Mauris hac duis id cursus mus ad eu in cursus praesent in. Mauris imperdiet et sed, aptent in fringilla ac eros a condimentum. Varius vel justo purus class lorem torquent velit curabitur pulvinar turpis, netus tempor. Aliquam purus sem placerat dis diam sapien mauris, sed. Aenean efficitur sed sit libero nec. Vitae nostra nibh, habitasse, fermentum non volutpat, cras sodales lorem. Dui, lectus vel sollicitudin non massa dolor vel adipiscing aliquam in. Quisque odio sed pellentesque bibendum a in aenean dui eros, justo, himenaeos ad mauris orci.","negative",650,104,FALSE,FALSE,FALSE,FALSE,2021-03-04
20,"Lorem ipsum dolor sit amet, tincidunt, interdum curae maximus, non imperdiet accumsan aliquam justo. Pellentesque proin volutpat gravida vestibulum non. Sollicitudin sed odio parturient nunc. Cubilia sed, quis. Quis cum adipiscing sodales id leo vel ornare, laoreet neque lacinia dictum. Rhoncus lobortis velit lacinia semper mi ac luctus dolor nostra vitae. Condimentum dictum accumsan faucibus blandit molestie augue facilisi ut. Lectus sit, vestibulum placerat at massa erat pellentesque diam laoreet sociis nec, eu massa. Eu vel turpis nunc consectetur duis posuere nunc. Sit lorem faucibus porttitor dolor eu etiam dictumst praesent. Integer ante luctus metus sed. Laoreet placerat in per ante duis nam dapibus vestibulum pellentesque risus in augue tellus. A natoque nec orci magna ac nibh.","negative",796,117,FALSE,FALSE,FALSE,FALSE,2020-09-17
21,"Lorem ipsum dolor sit amet, nibh enim donec efficitur nunc morbi. Torquent quam sed senectus mi proin arcu. Dolor non, in, tristique sapien sed ut convallis sodales. In fermentum sed maximus mauris luctus. Felis dui quis egestas id sit elementum sed. Non dui quam metus, commodo, platea dis magnis. Eleifend sodales montes at phasellus et. Neque facilisis sed, nec ac curabitur sapien elementum finibus eget. Sapien donec imperdiet orci non vestibulum velit, tortor tellus tincidunt egestas. Taciti tempus tellus eget nisl malesuada nibh quam, amet dolor torquent. Sed nisl eget varius ut tristique in id tincidunt purus mi habitasse. Maximus tincidunt bibendum donec, phasellus potenti. Sagittis et vestibulum urna ante sagittis praesent. Dapibus neque ultricies in quis vel cursus sagittis proin. Nunc sed elementum vulputate tempor nibh tincidunt egestas nibh pharetra.","positive",872,131,FALSE,FALSE,FALSE,FALSE,2020-05-06
22,"Lorem ipsum dolor sit amet, non sit justo velit in sed etiam pellentesque. Nascetur accumsan morbi enim sociosqu quisque, nulla eleifend litora feugiat. Phasellus laoreet ac in sapien tempor dis dis malesuada tincidunt libero phasellus. Vivamus suspendisse et iaculis proin velit vel quis. Sed urna volutpat massa potenti. Justo vitae arcu ut nullam sodales mauris sit fringilla id. Curae porta taciti dictum ipsum sapien sed. Fames, metus. Turpis mattis posuere pretium, urna ac sollicitudin eu convallis. Lectus suspendisse sodales nisl, gravida integer posuere magna. Nec fermentum et in, sed ullamcorper. Duis sit suscipit congue elementum montes non in senectus cras. Egestas, erat nascetur et. Aenean lectus etiam scelerisque auctor. Nec risus mi nec proin id ex dolor felis.","negative",781,118,FALSE,FALSE,FALSE,FALSE,2021-08-27
23,"Lorem ipsum dolor sit amet, dui pharetra, taciti, ut sed suspendisse. Et quis eu non odio in. Auctor sodales, sapien, imperdiet, in massa quis. Amet, id lobortis magna ex cum tortor eget laoreet urna. Eu vitae ac ac tristique sodales est non placerat. Hac sed. Libero suscipit. Tortor vitae diam vestibulum parturient efficitur vulputate sed. Erat lacus ac quis non magna mauris tortor. Sollicitudin arcu justo vestibulum mauris in.","negative",432,69,FALSE,FALSE,FALSE,FALSE,2020-02-17
24,"Lorem ipsum dolor sit amet, nulla augue praesent dolor eu aliquam ornare in. Sociosqu dapibus magna eu. Sociosqu a feugiat sed eget dictumst. Nam ullamcorper vitae ut vestibulum pharetra mollis nunc, aliquam cum sem ridiculus cras adipiscing. Ac tincidunt primis maecenas adipiscing ridiculus scelerisque velit consequat quis tincidunt placerat! Commodo condimentum, pellentesque maecenas nisi a vitae. Fusce aliquet sed quisque potenti per. Ac sociis conubia quis. Sollicitudin proin mi ut molestie aliquam a venenatis dictumst a, et ex vivamus sit. Tempor egestas rutrum dolor a nunc rutrum sed.","neutral",597,88,FALSE,TRUE,FALSE,FALSE,2022-12-11
25,"Lorem ipsum dolor sit amet, nunc lobortis turpis facilisis ut sollicitudin pulvinar etiam. Cum aliquam amet non ac diam mattis molestie in scelerisque. Ridiculus tincidunt nam blandit in est maecenas ultricies pharetra etiam. Sed est dolor posuere nulla volutpat sit gravida blandit. Nunc curabitur lobortis, mus amet sed. Sapien rhoncus orci amet. Et fusce non. Ex est sociosqu maximus ut arcu commodo. Dolor nisi risus morbi, nunc leo, ultricies fringilla pharetra, ipsum. Varius donec nec dui sed non amet. Aliquam ligula molestie egestas. Dis dolor molestie aliquam donec nec, porttitor sit pharetra vel et ipsum interdum commodo. At magna non at ornare dolor vitae suscipit, purus amet! Nec parturient tortor tortor commodo aliquet duis dignissim non quis fames, ligula torquent ipsum. Malesuada, metus, felis neque urna, nisl interdum quis malesuada consequat lectus pellentesque.","neutral",886,133,FALSE,TRUE,FALSE,FALSE,2023-11-15
26,"Lorem ipsum dolor sit amet, volutpat aliquam malesuada egestas fringilla eros! Lacus sollicitudin, ullamcorper. Sed ultrices, vitae natoque est lacinia et at cum odio eros varius. Eu neque, sit vitae. Gravida accumsan penatibus eu est. Sem tempus lacus amet iaculis aptent id ornare taciti. Sed neque quis lorem, eros proin eu semper velit, luctus.","positive",348,54,FALSE,TRUE,FALSE,FALSE,2023-09-03
27,"Lorem ipsum dolor sit amet, ullamcorper commodo turpis malesuada velit ac pretium molestie. Magna tristique varius fames velit erat pellentesque et porta! Sollicitudin lectus, eu aptent erat eu. Potenti est mi magna tincidunt non. Congue placerat sit lorem eget ut pulvinar. Nulla tempor eu risus integer sed hac congue, eget. Feugiat quam sed maximus, erat hac purus. Sed sed pellentesque eu ac lacus leo nunc velit. Lectus a in parturient nec. Interdum netus habitasse volutpat. Posuere ut, et eu mauris donec lobortis vel nulla ut maecenas vivamus pulvinar lobortis.","negative",569,89,FALSE,TRUE,FALSE,FALSE,2022-07-11
28,"Lorem ipsum dolor sit amet, felis est primis nisl. Turpis primis et hendrerit vestibulum nec ac ut a! Praesent, leo iaculis taciti, pellentesque. Feugiat, ullamcorper pellentesque sed ante eget, libero. Lacinia id diam. Ante et, amet sagittis diam fusce, placerat amet fermentum justo? Tellus pulvinar sociosqu gravida senectus vestibulum sed sit laoreet ex tempor sed in amet. Habitasse mollis, tortor in nunc ac fermentum eros. Hendrerit ante enim, in est duis.","positive",463,71,TRUE,TRUE,FALSE,FALSE,2023-12-24
29,"Lorem ipsum dolor sit amet, taciti a sed nulla tincidunt ad suspendisse eu mauris. Ut morbi in ipsum, neque donec fusce. Etiam ad suscipit ad purus erat sapien. Urna ut nam vitae sagittis hac et sem eleifend euismod ornare justo. Habitant porta donec risus natoque himenaeos, a pellentesque turpis, in natoque viverra phasellus. Eros nunc taciti. Nibh faucibus metus sociosqu tempor ex a nibh per, ornare suscipit aliquam et magnis est suspendisse amet sed. At, aliquam massa in eget sed mauris tortor ipsum laoreet, montes mauris sociis et sodales nunc. Nulla in a facilisis turpis, nam. Vel in porta, nunc ipsum, morbi sed enim. Ac tempor sociis nullam etiam, sodales. Tempor hendrerit augue, mollis dui ut faucibus egestas. Pharetra luctus eget, lacus et sed et mauris non sagittis. Magna felis tellus ut pulvinar tellus rhoncus mi. Elementum dictum duis facilisi nulla in justo pellentesque enim.","positive",900,145,FALSE,FALSE,FALSE,FALSE,2021-07-24
30,"Lorem ipsum dolor sit amet, cubilia arcu augue vestibulum nec donec vestibulum. Nibh risus sapien justo mauris in vivamus suspendisse pharetra. Luctus mauris metus fermentum sed ex feugiat purus suscipit ultrices. Maximus, sit laoreet justo ac nec aliquet. Ac quam, sapien augue odio magnis. Amet nisl enim integer sed sed ipsum. Turpis, dignissim, felis eu in ac. Proin, leo parturient imperdiet. Nunc per tristique hac ac congue adipiscing dictum condimentum adipiscing. Ipsum ante amet magna justo interdum leo. Ut, ultrices sed non natoque, dui, nulla sed.","negative",560,86,FALSE,FALSE,FALSE,FALSE,2021-01-19
31,"Lorem ipsum dolor sit amet, sed libero dictum sed efficitur integer. Diam quis suscipit justo semper auctor lacus metus ridiculus dapibus vehicula. Velit sollicitudin sed ante eleifend est, at. Amet dapibus, ultrices magna lobortis erat libero cras. Eget dapibus eros pharetra sociis blandit! Amet etiam, turpis cras ut in ac morbi nisl. Fusce ligula sapien. Nunc risus mauris gravida justo feugiat semper etiam, egestas orci. Et eu non sit sed quis in in a amet, nec massa eu, imperdiet. Sociis efficitur nascetur potenti hac vitae pretium efficitur mi eleifend.","neutral",563,89,FALSE,TRUE,FALSE,FALSE,2020-07-05
32,"Lorem ipsum dolor sit amet, libero vulputate euismod mi finibus torquent aliquet montes molestie a. Aenean, curabitur mi sagittis eu metus tincidunt. Faucibus sit parturient nisl mattis vestibulum tortor. Justo nam, non sapien nunc viverra maecenas ornare massa platea. Turpis ante sagittis ante in sed eleifend integer senectus neque. Turpis eu tristique, at id quam augue tincidunt posuere. Quis amet et id mauris, elit tortor nullam nec. Congue vel fames et mollis, et non vel suspendisse. Ultrices turpis tortor neque tincidunt euismod hendrerit maximus id.","positive",561,85,FALSE,FALSE,FALSE,FALSE,2022-04-10
33,"Lorem ipsum dolor sit amet, magna fermentum. Sociosqu metus mi iaculis nunc aliquam eu ad parturient egestas metus nulla nec. Integer justo molestie porttitor, dictum sed tellus. In primis, est nec felis fringilla in montes praesent metus vehicula consectetur. Platea porta, neque etiam. Sit vel in viverra elit in. Litora facilisi cursus id est ante in, interdum ipsum et sed. Erat, ipsum, tortor nisl nibh sed adipiscing. Faucibus, sed arcu lorem dui dignissim in vel. In purus ac ridiculus ac sed augue at.","negative",509,83,FALSE,FALSE,FALSE,FALSE,2020-05-12
34,"Lorem ipsum dolor sit amet, sodales metus nec pharetra ante. Dignissim, semper id. Vestibulum ligula quam faucibus risus viverra. Sit penatibus ex primis, metus. Convallis penatibus sed amet venenatis porttitor condimentum ornare. Vitae vitae id ut, ut, odio augue nulla. Libero arcu in. Enim, in nisl odio eu non pellentesque, nisl vel, sagittis tincidunt donec. Dapibus faucibus ac scelerisque eros eu viverra. Per, torquent euismod lorem potenti aliquam donec. Elit ut metus, duis consectetur scelerisque magnis hac ante mus. Massa aliquam et nec eu scelerisque nunc sociis.","neutral",577,87,FALSE,FALSE,FALSE,FALSE,2022-12-27
35,"Lorem ipsum dolor sit amet, mollis, in auctor posuere diam inceptos purus sed rhoncus laoreet purus egestas. Vestibulum tempus nunc velit tincidunt quisque in. Rutrum conubia fermentum non lorem nulla donec amet purus. Vulputate leo ex massa dapibus, at convallis consectetur, at. Nec tempus ut ligula. Interdum nec nullam diam cras id. Ornare netus tellus sociis quisque, adipiscing nec. Congue eu quis ac vulputate. Metus, aliquet vulputate, semper cursus, curabitur torquent tortor auctor sit est, bibendum. Eget venenatis interdum amet risus posuere sapien quis. Eget aliquam, nec ante nec montes taciti lorem interdum enim donec. Lacinia in ut varius ac tincidunt. In quam, lobortis magna porta mollis. Metus diam ornare enim aenean.","negative",738,112,FALSE,FALSE,FALSE,FALSE,2021-10-18
36,"Lorem ipsum dolor sit amet, sed maecenas volutpat, eu ligula. Tristique malesuada, nibh ligula nibh litora finibus non. Donec vitae nec ridiculus, ac ut vulputate eu sed vivamus, donec augue. Orci ac ut molestie tempor augue vulputate. Amet sed tellus sit sit nascetur nec quis tellus nec malesuada vel urna ipsum. Varius orci nulla vitae aptent varius sem facilisis. In, elementum porttitor rhoncus erat at, malesuada est! Suspendisse vulputate eu metus eu massa at metus vivamus orci, accumsan. Sem montes eu magna odio auctor aliquam sagittis sociosqu potenti. Vestibulum pharetra suspendisse venenatis sed, orci eget commodo. Vel amet per lorem purus tellus suspendisse porttitor luctus non vestibulum. Ornare luctus ullamcorper habitant maximus scelerisque nec finibus pretium. Vel eros odio sem nisi nunc eget pretium. Tempus nec sociis. Sem nec at aenean et non leo ex sed non quis. Consectetur enim, et nisl dui metus conubia amet leo magna.","positive",949,148,FALSE,TRUE,FALSE,FALSE,2020-12-17
37,"Lorem ipsum dolor sit amet, porttitor id donec fringilla a scelerisque sapien magnis dictumst dolor nisi ante! Sapien mus luctus cubilia ipsum. Porttitor ad odio curabitur rhoncus sed eget nulla commodo. Ut, nec, neque, nisl augue. Aliquet posuere mauris ac curabitur et duis, velit nostra. In cubilia curabitur nulla donec ullamcorper, ut, senectus, egestas varius quisque. Quis fames nec conubia litora ullamcorper, hac nullam non consectetur tempus adipiscing. In non urna eleifend ante. Egestas augue sollicitudin platea nascetur ut. Sed consequat. In parturient vestibulum nunc sem at a metus nibh, aptent. Vitae, nibh facilisi non vel urna, leo, sed justo ut. Sollicitudin praesent vestibulum accumsan et sed semper scelerisque conubia sed. In ipsum, nisl luctus lorem ut dolor potenti donec.","positive",798,120,FALSE,TRUE,FALSE,FALSE,2021-06-07
38,"Lorem ipsum dolor sit amet, vulputate auctor penatibus molestie diam mollis finibus morbi facilisis ut eleifend enim neque. Diam metus ornare ultrices enim, magna magna non magnis vitae bibendum bibendum in ipsum. Ligula eros nec, primis platea elit tincidunt quis. Fringilla conubia pharetra blandit tempus nisi commodo. Posuere, purus neque suscipit dolor iaculis porttitor in nibh. Id turpis vestibulum venenatis pellentesque ornare vivamus. Tortor torquent, sagittis amet in. Imperdiet in ac. Purus id magna luctus, sagittis justo turpis.","neutral",542,78,FALSE,FALSE,FALSE,FALSE,2022-09-13
39,"Lorem ipsum dolor sit amet, sem sed in ut, amet. Ornare lobortis feugiat integer, hac odio, ut nec ligula. Donec dolor bibendum iaculis efficitur. Non pretium tellus, placerat at tristique neque. Molestie in nec sit luctus mauris nibh ullamcorper varius. Fusce class sit duis sit. Quis risus nibh egestas amet arcu quam nulla pellentesque tincidunt. Aliquet pellentesque tincidunt mi finibus arcu ornare, feugiat ipsum. Varius nostra consequat dui amet quis diam. Urna suspendisse nec ac laoreet mauris sit tincidunt ad. Dui sed sed eu class nibh auctor vitae. Porta conubia eleifend risus massa. Maecenas sed finibus metus? Suspendisse dolor, convallis sed lacinia aliquet facilisis ut. Ut nibh eu in sed.","positive",706,110,TRUE,FALSE,FALSE,FALSE,2022-02-23
40,"Lorem ipsum dolor sit amet, nisi in in, viverra eu in vestibulum et, arcu porta morbi risus. Vestibulum ultricies porttitor nostra, semper euismod sed tristique leo. Aenean congue suspendisse. Justo montes rhoncus metus justo congue curabitur. Amet felis arcu egestas sed pharetra lectus ipsum ut litora. Est per eros eleifend proin. Ligula quis id eget sit sed nunc. Scelerisque erat praesent tristique leo facilisi torquent. Condimentum turpis quis nec semper volutpat. Ut quisque nec ut ac in augue metus sed, eleifend. Nostra sed pulvinar, in bibendum. Luctus sem viverra, morbi. Ligula auctor hendrerit, sagittis, nunc vitae.","neutral",630,96,FALSE,FALSE,FALSE,FALSE,2020-05-21
41,"Lorem ipsum dolor sit amet, mauris maximus maecenas consequat eu non. Platea eget mauris lacinia nisl, odio ac suscipit sapien proin. Cubilia suspendisse, ligula natoque porta suspendisse amet maecenas netus consequat. Dapibus eu vitae lectus volutpat sapien ligula, varius duis augue at turpis accumsan. Ac primis nec fames sed luctus maximus elementum. Mi, nullam feugiat viverra maximus tristique eget porta nulla? Feugiat, et volutpat mauris ornare habitasse tortor. Dictum sagittis ac donec sed varius nunc. Arcu eleifend non.","positive",531,78,TRUE,FALSE,FALSE,FALSE,2023-08-28
42,"Lorem ipsum dolor sit amet, orci a lacinia viverra ut commodo, interdum quam donec, leo. Sed purus ornare diam vestibulum, scelerisque ut faucibus, cubilia quis congue suscipit. Dignissim vitae suspendisse aptent sed nec, quis rhoncus. Ut fames tincidunt sollicitudin maximus, lacus elit quisque urna sed. Ut lacinia nam lacus mauris, fermentum sed. Tempus ut ad aliquet enim nisi. Pulvinar at lorem sed laoreet fermentum ac. Iaculis porta justo ligula mauris ullamcorper ut sit nulla imperdiet ligula platea. Amet netus, non vehicula vivamus nunc vestibulum auctor ex mi interdum sed lacinia. Eros tincidunt ante nam quam.","neutral",623,95,FALSE,FALSE,FALSE,FALSE,2021-01-10
